Curve Name                     TVDBTDD          TVD              TVDSS            Two Way Time       
TIME-CKS                       0.00             25.00            0.00             0.0000             
TIME-CKS                       1053.30          1078.30          -1053.30         1102.2000          
TIME-CKS                       1063.50          1088.50          -1063.50         1111.8000          
TIME-CKS                       1073.60          1098.60          -1073.60         1121.2000          
TIME-CKS                       1083.80          1108.80          -1083.80         1130.0000          
TIME-CKS                       1093.10          1118.10          -1093.10         1138.6000          
TIME-CKS                       1148.20          1173.20          -1148.20         1191.2000          
TIME-CKS                       1156.20          1181.20          -1156.20         1199.0000          
TIME-CKS                       1164.10          1189.10          -1164.10         1207.0000          
TIME-CKS                       1172.10          1197.10          -1172.10         1214.6000          
TIME-CKS                       1180.10          1205.10          -1180.10         1222.4000          
TIME-CKS                       1233.50          1258.50          -1233.50         1272.4000          
TIME-CKS                       1241.50          1266.50          -1241.50         1279.4000          
TIME-CKS                       1249.40          1274.40          -1249.40         1287.2000          
TIME-CKS                       1257.20          1282.20          -1257.20         1293.8000          
TIME-CKS                       1265.00          1290.00          -1265.00         1300.8000          
TIME-CKS                       1315.70          1340.70          -1315.70         1344.4000          
TIME-CKS                       1323.00          1348.00          -1323.00         1352.0000          
TIME-CKS                       1330.30          1355.30          -1330.30         1358.8000          
TIME-CKS                       1337.70          1362.70          -1337.70         1366.8000          
TIME-CKS                       1345.00          1370.00          -1345.00         1374.8000          
TIME-CKS                       1352.60          1377.60          -1352.60         1382.4000          
TIME-CKS                       1360.20          1385.20          -1360.20         1389.6000          
TIME-CKS                       1367.80          1392.80          -1367.80         1397.0000          
TIME-CKS                       1375.40          1400.40          -1375.40         1404.6000          
TIME-CKS                       1383.00          1408.00          -1383.00         1412.0000          
TIME-CKS                       1390.60          1415.60          -1390.60         1419.2000          
TIME-CKS                       1398.30          1423.30          -1398.30         1426.6000          
TIME-CKS                       1406.00          1431.00          -1406.00         1434.2000          
TIME-CKS                       1413.80          1438.80          -1413.80         1441.4000          
TIME-CKS                       1421.60          1446.60          -1421.60         1448.4000          
TIME-CKS                       1429.30          1454.30          -1429.30         1455.2000          
TIME-CKS                       1437.10          1462.10          -1437.10         1462.2000          
TIME-CKS                       1444.80          1469.80          -1444.80         1469.0000          
TIME-CKS                       1452.60          1477.60          -1452.60         1475.4000          
TIME-CKS                       1460.40          1485.40          -1460.40         1482.0000          
TIME-CKS                       1468.20          1493.20          -1468.20         1488.8000          
TIME-CKS                       1476.00          1501.00          -1476.00         1495.2000          
TIME-CKS                       1483.80          1508.80          -1483.80         1502.4000          
TIME-CKS                       1491.60          1516.60          -1491.60         1509.8000          
TIME-CKS                       1499.40          1524.40          -1499.40         1518.0000          
TIME-CKS                       1507.20          1532.20          -1507.20         1525.8000          
TIME-CKS                       1509.80          1534.80          -1509.80         1528.8000          
TIME-CKS                       1515.00          1540.00          -1515.00         1533.6000          
TIME-CKS                       1517.60          1542.60          -1517.60         1536.4000          
TIME-CKS                       1522.70          1547.70          -1522.70         1540.8000          
TIME-CKS                       1525.30          1550.30          -1525.30         1543.4000          
TIME-CKS                       1530.50          1555.50          -1530.50         1547.4000          
TIME-CKS                       1533.10          1558.10          -1533.10         1550.0000          
TIME-CKS                       1538.30          1563.30          -1538.30         1554.2000          
TIME-CKS                       1546.10          1571.10          -1546.10         1561.2000          
TIME-CKS                       1553.90          1578.90          -1553.90         1567.8000          
TIME-CKS                       1561.60          1586.60          -1561.60         1575.0000          
TIME-CKS                       1569.40          1594.40          -1569.40         1582.0000          
TIME-CKS                       1577.20          1602.20          -1577.20         1588.8000          
TIME-CKS                       1584.90          1609.90          -1584.90         1595.8000          
TIME-CKS                       1592.60          1617.60          -1592.60         1603.0000          
TIME-CKS                       1600.40          1625.40          -1600.40         1610.2000          
TIME-CKS                       1609.20          1634.20          -1609.20         1618.0000          
TIME-CKS                       1618.40          1643.40          -1618.40         1625.6000          
TIME-CKS                       1627.50          1652.50          -1627.50         1633.4000          
TIME-CKS                       1636.70          1661.70          -1636.70         1641.0000          
TIME-CKS                       1645.80          1670.80          -1645.80         1648.6000          
TIME-CKS                       1654.90          1679.90          -1654.90         1656.2000          
TIME-CKS                       1664.10          1689.10          -1664.10         1664.4000          
TIME-CKS                       1673.20          1698.20          -1673.20         1672.8000          
TIME-CKS                       1682.30          1707.30          -1682.30         1681.6000          
TIME-CKS                       1691.50          1716.50          -1691.50         1691.0000          
TIME-CKS                       1700.60          1725.60          -1700.60         1700.4000          
TIME-CKS                       1710.70          1735.70          -1710.70         1709.8000          
TIME-CKS                       1721.80          1746.80          -1721.80         1719.8000          
TIME-CKS                       1732.90          1757.90          -1732.90         1729.8000          
TIME-CKS                       1744.00          1769.00          -1744.00         1739.8000          
TIME-CKS                       1755.10          1780.10          -1755.10         1750.2000          
TIME-CKS                       1766.30          1791.30          -1766.30         1761.0000          
TIME-CKS                       1777.40          1802.40          -1777.40         1772.0000          
TIME-CKS                       1788.50          1813.50          -1788.50         1783.4000          
TIME-CKS                       1800.40          1825.40          -1800.40         1794.8000          
TIME-CKS                       1812.50          1837.50          -1812.50         1806.4000          
TIME-CKS                       1824.70          1849.70          -1824.70         1817.8000          
TIME-CKS                       1836.90          1861.90          -1836.90         1829.0000          
TIME-CKS                       1849.00          1874.00          -1849.00         1840.2000          
TIME-CKS                       1861.20          1886.20          -1861.20         1851.6000          
TIME-CKS                       1873.40          1898.40          -1873.40         1862.8000          
TIME-CKS                       1885.60          1910.60          -1885.60         1874.2000          
TIME-CKS                       1898.60          1923.60          -1898.60         1885.8000          
TIME-CKS                       1911.60          1936.60          -1911.60         1897.6000          
TIME-CKS                       1924.60          1949.60          -1924.60         1909.4000          
TIME-CKS                       1937.60          1962.60          -1937.60         1921.2000          
TIME-CKS                       1950.60          1975.60          -1950.60         1933.0000          
TIME-CKS                       1963.60          1988.60          -1963.60         1944.8000          
TIME-CKS                       1976.60          2001.60          -1976.60         1956.6000          
TIME-CKS                       1989.80          2014.80          -1989.80         1968.8000          
TIME-CKS                       2003.30          2028.30          -2003.30         1980.6000          
TIME-CKS                       2016.80          2041.80          -2016.80         1992.8000          
TIME-CKS                       2030.30          2055.30          -2030.30         2004.8000          
TIME-CKS                       2043.80          2068.80          -2043.80         2016.6000          
TIME-CKS                       2057.30          2082.30          -2057.30         2027.8000          
TIME-CKS                       2070.90          2095.90          -2070.90         2039.0000          
TIME-CKS                       2084.60          2109.60          -2084.60         2050.0000          
TIME-CKS                       2098.30          2123.30          -2098.30         2060.6001          
TIME-CKS                       2112.00          2137.00          -2112.00         2072.2000          
TIME-CKS                       2125.70          2150.70          -2125.70         2084.6001          
TIME-CKS                       2139.40          2164.40          -2139.40         2097.6001          
TIME-CKS                       2153.10          2178.10          -2153.10         2110.0000          
TIME-CKS                       2166.80          2191.80          -2166.80         2122.3999          
TIME-CKS                       2180.70          2205.70          -2180.70         2135.0000          
TIME-CKS                       2194.70          2219.70          -2194.70         2146.8000          
TIME-CKS                       2208.70          2233.70          -2208.70         2158.0000          
TIME-CKS                       2222.60          2247.60          -2222.60         2169.8000          
TIME-CKS                       2236.60          2261.60          -2236.60         2181.3999          
TIME-CKS                       2250.60          2275.60          -2250.60         2191.3999          
TIME-CKS                       2264.60          2289.60          -2264.60         2201.3999          
TIME-CKS                       2278.50          2303.50          -2278.50         2211.0000          
TIME-CKS                       2292.20          2317.20          -2292.20         2220.3999          
TIME-CKS                       2305.90          2330.90          -2305.90         2230.3999          
TIME-CKS                       2319.60          2344.60          -2319.60         2240.0000          
TIME-CKS                       2333.30          2358.30          -2333.30         2249.3999          
TIME-CKS                       2347.00          2372.00          -2347.00         2259.0000          
TIME-CKS                       2360.70          2385.70          -2360.70         2268.6001          
TIME-CKS                       2374.40          2399.40          -2374.40         2278.2000          
TIME-CKS                       2388.10          2413.10          -2388.10         2287.8000          
TIME-CKS                       2401.80          2426.80          -2401.80         2297.6001          
TIME-CKS                       2415.50          2440.50          -2415.50         2307.0000          
TIME-CKS                       2429.30          2454.30          -2429.30         2316.3999          
TIME-CKS                       2443.00          2468.00          -2443.00         2325.6001          
TIME-CKS                       2456.70          2481.70          -2456.70         2334.6001          
TIME-CKS                       2470.40          2495.40          -2470.40         2343.8000          
TIME-CKS                       2484.10          2509.10          -2484.10         2352.6001          
TIME-CKS                       2497.80          2522.80          -2497.80         2361.2000          
TIME-CKS                       2511.40          2536.40          -2511.40         2369.3999          
TIME-CKS                       2525.00          2550.00          -2525.00         2377.3999          
